,Title,Link,Price,Image,Year,Brand,Location,Kms Covered,Fuel Type,Type,Region Info
0,2022 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2022-cars-gurgaon-10179761731/,772000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/0c98cdc6-ff61-11f0-bd51-02ede2007fbe/4036249d-8c89-44e1-870f-2b2b6519ed4a/9a48c1c7-74a3-432c-b982-342a9bd74eed/939f0087-1609-4b01-970c-b4aad81f2076/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2022,Maruti,"M3M Urbana, Golf Course Ext., Gurugram",45498,Petrol,Manual,HR-98
1,2019 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-new-delhi-10116468731/,590000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/8faab900-0e38-11f1-bd51-02ede2007fbe/30df266b-7099-4246-a62c-a8714858c5c9/83e1687b-492c-4aee-a0f8-f4aa2fc2b692/d2841ea3-74eb-4466-a355-0340dab4fe5c/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2019,Maruti,Rajouri Garden,93355,Petrol,Manual,DL-6C
2,2024 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2024-cars-gurgaon-10097168753/,899000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/ad2062a0-f1d7-11f0-bd51-02ede2007fbe/c9af24fa-0802-48f8-b210-ad35de3fb923/1dafc6ef-7690-4994-b0a9-759c38172a8f/46305472-58d5-413a-8433-b93d81d62d90/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2024,Maruti,"M3M Urbana, Golf Course Ext., Gurugram",18586,CNG,Manual,HR-14
3,2022 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2022-cars-noida-11008961780/,815000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/25c503ac-fb4a-11f0-bd51-02ede2007fbe/dd251e50-9d04-4680-a3a7-711cb7ae0630/31c6b3b9-f7e1-4f32-b461-b3f577f64a44/e2177ad7-87b4-46fc-b9ce-26322131e1ef/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2022,Maruti,"Sector-18, Noida",33086,Petrol,Automatic,DL-4C
4,2016 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2016-cars-gurgaon-10140661788/,450000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/9849bed2-1084-11f1-bd51-02ede2007fbe/f0e2bd1c-f7ce-4c80-912b-38d044b63121/deadd2a6-5a7a-4939-b6f0-5edcf1388735/e892588c-c5b6-47ff-a729-dd40505e88a1/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2016,Maruti,"M3M Urbana, Golf Course Ext., Gurugram",96696,Petrol,Manual,HR-26
5,2019 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-new-delhi-10101564715/,642000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/f41b08f4-0c8a-11f1-bd51-02ede2007fbe/d4c1693e-47bc-4af6-a2c9-a831ce0e8c33/08710ed4-95d6-41e3-a2e2-1c8698236107/182dc0bf-2dab-463c-a27d-2d8ef2ffe744/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2019,Maruti,"Metro Walk, Rohini, New Delhi",118326,Petrol,Manual,DL-1C
6,2015 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2015-cars-noida-10054068752/,389000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/9dde2f5e-fdbf-11f0-bd51-02ede2007fbe/f37798a6-eecc-49ca-b7b6-536fc6e67cf2/f6894d71-7f23-4cf7-9761-7c299505d00a/3bb3ba4d-b52b-40f7-b6ee-d48660ff2f07/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2015,Maruti,"Sector-18, Noida",54774,Petrol,Manual,DL-1C
7,2014 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2014-cars-new-delhi-10072965732/,345000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/7e167224-0b1d-11f1-bd51-02ede2007fbe/fabc57d8-c4df-479e-bb17-c8d218401a7c/92b354b1-5ea8-463a-a141-9072b32c29f2/dacc1986-c1c3-452d-a3b9-a72719f61d02/slot/camera-SRP.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2014,Maruti,"Metro Walk, Rohini, New Delhi",92485,Petrol,Manual,DL-2C
8,2015 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2015-cars-new-delhi-10032064797/,412000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/67c17784-f8ef-11f0-bd51-02ede2007fbe/3d8ee375-bc62-45ce-bdb7-50612fdb323a/c22d2108-3232-4cef-8ac5-4ba8d76e7a9f/31103339-0310-449a-9ed7-83978daeac0d/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2015,Maruti,Rajouri Garden,16811,Petrol,Manual,DL-4C
9,2022 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2022-cars-ghaziabad-11279166706/,1061000.0,"https://marketplace-cdn.cars24.com/visio/prod/11279166706/mainimage/FrontRightSide-Transparent/shadowBackground/1772783750057ZR8RTJ.webp?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2022,Maruti,Near pratap vihar Prateek grand city siddharth Vihar Ghaziabad Uttar Pradesh Ghaziabad,55791,Petrol,Automatic,UP-16
10,2013 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2013-cars-new-delhi-10002062743/,305000.0,"https://marketplace-cdn.cars24.com/production/10002062743/main image/2026-03-07/car_replace_bg_ae974128-5406-4eb0-a93d-829e1bbd34a0.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2013,Maruti,Karawal Nagar New Delhi Delhi,34031,Petrol,Manual,DL-2C
11,2014 Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2014-cars-new-delhi-10085961772/,419000.00000000006,"https://marketplace-cdn.cars24.com/production/10085961772/main image/2026-03-07/car_replace_bg_d9cc0041-60f4-4fc0-ba7e-c0a0431dd373.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2014,Maruti,null New Delhi Delhi,83941,CNG,Manual,DL-8C
